ID,Titre,Durée (minutes),Langue Originale,Note moyenne,Score de popularité,Décénnie,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
tt0081059,Lion of the Desert,0.8571428571428571,en,0.7414807718625974,0.0023433160378035075,0.0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0
tt0082477,Gregory's Girl,0.3246753246753247,en,0.6514301354865198,0.0009113114022583156,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
tt0082497,The Hand,0.40909090909090906,en,0.5639797454495689,0.0010209517132674013,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0082776,Ms .45,0.2597402597402597,en,0.6455453674558642,0.002396367801195001,0.0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0082084,Bloody Birthday,0.2857142857142857,en,0.5474202819214452,0.0014758214623463147,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
tt0082418,Friday the 13th Part 2,0.29220779220779225,en,0.5809497741891336,0.003939388163837206,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0085518,Faces of Death II,0.24025974025974028,en,0.24633912686465032,0.0008551158306658447,0.0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082467,Graduation Day,0.3571428571428571,en,0.46147529765977835,0.0011634055223741883,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082118,The Burning,0.3246753246753247,en,0.593540440673327,0.0018102440597252824,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0081027,Le lac des morts vivants,0.2987012987012987,fr,0.17791159162446968,0.0011131045911585502,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082158,Chariots of Fire,0.538961038961039,en,0.6767483235253866,0.0025667229080854623,0.0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
tt0082498,Happy Birthday to Me,0.44805194805194803,en,0.5706856439031066,0.0015019543680169388,0.0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0
tt0082405,The Four Seasons,0.4285714285714286,en,0.5884768030655536,0.000878497904160614,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082869,Outland,0.4415584415584416,en,0.6192691939236349,0.0019185089546464406,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
tt0082933,Possession,0.538961038961039,fr,0.7455864239770084,0.003678648571168646,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0083260,Les uns et les autres,0.9285714285714287,fr,0.6681264540851238,0.0006983183966420984,0.0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
tt0082242,Dead & Buried,0.3441558441558442,en,0.6184480635007527,0.001607468430762242,0.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
tt0082926,Polyester,0.29220779220779225,en,0.6748323525386616,0.0010954206700280525,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082378,Final Exam,0.31818181818181823,en,0.4696866018886,0.000891859089014768,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
tt0082517,History of the World: Part I,0.3311688311688312,en,0.670042425071849,0.003078181204781968,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082186,Clash of the Titans,0.5,en,0.6785274394416313,0.0031860531236780044,0.0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
tt0082971,Raiders of the Lost Ark,0.48051948051948057,en,0.8241412344327358,0.008072513508059643,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0083284,Escape to Victory,0.487012987012987,en,0.6830436567674832,0.002344691453891435,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
tt0082136,The Cannonball Run,0.35064935064935066,en,0.5769809771452031,0.002861651414939652,0.0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082398,For Your Eyes Only,0.564935064935065,en,0.6300807444915834,0.0036611611380507093,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
tt0083131,Stripes,0.42207792207792205,en,0.6339126864650335,0.0031274996959348004,0.0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082474,The Great Muppet Caper,0.35064935064935066,en,0.6705898453537703,0.0016053070626240698,0.0,0,0,0,3,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0
tt0082288,Dragonslayer,0.43506493506493504,en,0.629533324209662,0.001825766612717608,0.0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
tt0082640,Lady Chatterley's Lover,0.40909090909090906,en,0.47899274668126457,0.002611325686936829,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0083015,S.O.B.,0.5194805194805195,en,0.5474202819214452,0.0013317957491390388,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082199,Condorman,0.31818181818181823,en,0.49267825372930063,0.0012418042393860615,0.0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0082406,The Fox and the Hound,0.26623376623376627,en,0.7167100041056521,0.006240655766952641,0.0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
tt0081633,Time Bandits,0.487012987012987,en,0.6459559326673053,0.0020014268959472185,0.0,0,3,0,3,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0
tt0082329,Endless Love,0.487012987012987,en,0.5063637607773368,0.0034186949305503294,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0082332,Enter the Ninja,0.3831168831168831,en,0.47899274668126457,0.0006081303988765602,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
tt0082031,Arthur,0.36363636363636365,en,0.6303544546325441,0.002359428054833517,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
tt0083336,Wolfen,0.48051948051948057,en,0.5523470644587382,0.0013292414049757447,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
tt0082085,Blow Out,0.43506493506493504,en,0.7444915834131655,0.0022167777577141684,0.0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,3,0,0
tt0082163,Nice Dreams,0.30519480519480524,en,0.5611057889694814,0.0015990194462221152,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
